Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2018,Debt Service,"2006 CIRBs, Series B (CRCIP)",Intergovernmental,1119253,R,Other Governmental Funds,3114
2018,Debt Service,2015 Golden 1 Center Revenue Bonds,"Interest, Rents, and Concessions",6500000,R,Other Governmental Funds,3115
2018,Debt Service,2016 Lease Financing-H Street,Intergovernmental,669939,R,Other Governmental Funds,3116
2018,Debt Service,Debt Service - Other City Debt,"Interest, Rents, and Concessions",8645,R,Other Governmental Funds,3117
2018,Debt Service,Debt Service - Other City Debt,Intergovernmental,93954,R,Other Governmental Funds,3118
2018,Debt Service,Kings-Arco Arena Acquisition,"Interest, Rents, and Concessions",5953976,R,Other Governmental Funds,3119
2018,Economic Development,General Fund,City Property,0,E,General Fund,3120
2018,Economic Development,General Fund,Employee Services,0,E,General Fund,3121
2018,Economic Development,General Fund,Labor and Supply Offset,0,E,General Fund,3122
2018,Economic Development,General Fund,Other Services and Supplies,0,E,General Fund,3123
2018,Economic Development,Innovation and Growth Fund,Other Services and Supplies,0,E,Other Governmental Funds,3124
2018,Economic Development,General Fund,"Charges, Fees, and Services",0,R,General Fund,3125
2018,Finance,Parking Fund,Labor and Supply Offset,93333,E,Enterprise Funds,3126
2018,Finance,General Fund,City Property,44400,E,General Fund,3127
2018,Finance,General Fund,Employee Services,9719256,E,General Fund,3128
2018,Finance,General Fund,Labor and Supply Offset,-4880271,E,General Fund,3129
2018,Finance,General Fund,Operating Transfers,0,E,General Fund,3130
2018,Finance,General Fund,Other Services and Supplies,6325615,E,General Fund,3131
2018,Finance,General Fund,Transfers,121242,E,General Fund,3132
2018,Finance,12th Street Maint Benefit Area,Labor and Supply Offset,3194,E,Other Governmental Funds,3133
2018,Finance,Cty/Cnty Office-Water Planning,Labor and Supply Offset,39000,E,Other Governmental Funds,3134
2018,Finance,Del Paso Nuevo Landscaping CFD,Labor and Supply Offset,3740,E,Other Governmental Funds,3135
2018,Finance,Del Paso Prop & Business Imprv,Labor and Supply Offset,5261,E,Other Governmental Funds,3136
2018,Finance,Downtown Impact Fee Fund,Other Services and Supplies,250000,E,Other Governmental Funds,3137
2018,Finance,Downtown Management District,Labor and Supply Offset,9439,E,Other Governmental Funds,3138
2018,Finance,Franklin Boulevard PBID,Labor and Supply Offset,1470,E,Other Governmental Funds,3139
2018,Finance,Greater Broadway PBID,Labor and Supply Offset,1119,E,Other Governmental Funds,3140
2018,Finance,Handle BID No 2011-04,Labor and Supply Offset,3718,E,Other Governmental Funds,3141
2018,Finance,Handle BID No 2011-04,Other Services and Supplies,196282,E,Other Governmental Funds,3142
2018,Finance,Interdepartmental Service Fund,Labor and Supply Offset,2929058,E,Other Governmental Funds,3143
2018,Finance,Laguna Creek Maint Dist,Labor and Supply Offset,13511,E,Other Governmental Funds,3144
2018,Finance,Landscaping and Lighting,Labor and Supply Offset,311073,E,Other Governmental Funds,3145
2018,Finance,Mack Road PBID,Labor and Supply Offset,3985,E,Other Governmental Funds,3146
2018,Finance,Midtown Sacramento PBID,Labor and Supply Offset,1960,E,Other Governmental Funds,3147
2018,Finance,N Nat Lndscp 99-02,Labor and Supply Offset,17614,E,Other Governmental Funds,3148
2018,Finance,N Natomas Lands CFD 3,Labor and Supply Offset,38478,E,Other Governmental Funds,3149
2018,Finance,N Natomas Transp Mgmt Assoc,Labor and Supply Offset,28322,E,Other Governmental Funds,3150
2018,Finance,Natomas Central CFD 2006-02,Labor and Supply Offset,11735,E,Other Governmental Funds,3151
2018,Parks and Recreation,Park Development Fund,City Property,50000,E,Other Governmental Funds,3152
2018,Parks and Recreation,Park Development Fund,Labor and Supply Offset,142600,E,Other Governmental Funds,3153
2018,Parks and Recreation,Park Development Fund,Operating Transfers,-19763,E,Other Governmental Funds,3154
2018,Parks and Recreation,Quimby Act Fund,Other Services and Supplies,10000,E,Other Governmental Funds,3155
2018,Parks and Recreation,Railyards Maint CFD No 2014-04,Labor and Supply Offset,0,E,Other Governmental Funds,3156
2018,Parks and Recreation,START Fund,Employee Services,838060,E,Other Governmental Funds,3157
2018,Parks and Recreation,START Fund,Labor and Supply Offset,-689439,E,Other Governmental Funds,3158
2018,Parks and Recreation,START Fund,Operating Transfers,-299537,E,Other Governmental Funds,3159
2018,Parks and Recreation,START Fund,Other Services and Supplies,662554,E,Other Governmental Funds,3160
2018,Parks and Recreation,General Fund,"Charges, Fees, and Services",3620476,R,General Fund,3161
2018,Parks and Recreation,General Fund,Intergovernmental,259837,R,General Fund,3162
2018,Parks and Recreation,General Fund,Licenses and Permits,607548,R,General Fund,3163
2018,Parks and Recreation,4th R Program,"Charges, Fees, and Services",5446345,R,Other Governmental Funds,3164
2018,Parks and Recreation,4th R Program,Intergovernmental,633695,R,Other Governmental Funds,3165
2018,Parks and Recreation,4th R Program,Miscellaneous Revenue,4000,R,Other Governmental Funds,3166
2018,Parks and Recreation,Golf Fund,"Charges, Fees, and Services",1365460,R,Other Governmental Funds,3167
2018,Parks and Recreation,Golf Fund,Miscellaneous Revenue,114351,R,Other Governmental Funds,3168
2018,Parks and Recreation,Land Park,"Charges, Fees, and Services",91000,R,Other Governmental Funds,3169
2018,Parks and Recreation,Park Development Fund,Licenses and Permits,63454,R,Other Governmental Funds,3170
2018,Parks and Recreation,START Fund,"Charges, Fees, and Services",0,R,Other Governmental Funds,3171
2018,Parks and Recreation,START Fund,Intergovernmental,560250,R,Other Governmental Funds,3172
2018,Police,General Fund,City Property,3463743,E,General Fund,3173
2018,Police,General Fund,Employee Services,144348544,E,General Fund,3174
2018,Police,General Fund,Labor and Supply Offset,-27174440,E,General Fund,3175
2018,Police,General Fund,Other Services and Supplies,10481377,E,General Fund,3176
2018,Police,General Fund,Transfers,0,E,General Fund,3177
2018,Police,Interdepartmental Service Fund,Labor and Supply Offset,0,E,Other Governmental Funds,3178
2018,Police,Risk Mgmt Fund,Labor and Supply Offset,547127,E,Risk Management,3179
2018,Police,General Fund,"Charges, Fees, and Services",9979000,R,General Fund,3180
2018,Police,General Fund,"Fines, Forfeitures, and  Penalties",415000,R,General Fund,3181
2018,Police,General Fund,Intergovernmental,679000,R,General Fund,3182
2018,Police,General Fund,Licenses and Permits,1108000,R,General Fund,3183
2018,Police,Traffic Safety Fund,"Fines, Forfeitures, and  Penalties",600000,R,Other Governmental Funds,3184
2018,Public Works,Parking Fund,City Property,55097,E,Enterprise Funds,3185
2018,Public Works,Parking Fund,Employee Services,4762157,E,Enterprise Funds,3186
2018,Public Works,Parking Fund,Labor and Supply Offset,1542124,E,Enterprise Funds,3187
2018,Public Works,Parking Fund,Operating Transfers,2063100,E,Enterprise Funds,3188
2018,Public Works,Parking Fund,Other Services and Supplies,3244694,E,Enterprise Funds,3189
2018,Public Works,Recycling and Solid Waste,City Property,6197984,E,Enterprise Funds,3190
2018,Public Works,Recycling and Solid Waste,Employee Services,15588726,E,Enterprise Funds,3191
2018,Public Works,Recycling and Solid Waste,Labor and Supply Offset,2293838,E,Enterprise Funds,3192
2018,Public Works,Recycling and Solid Waste,Operating Transfers,6815100,E,Enterprise Funds,3193
2018,Public Works,Recycling and Solid Waste,Other Services and Supplies,25684342,E,Enterprise Funds,3194
2018,Public Works,Storm Drainage Fund,Labor and Supply Offset,195000,E,Enterprise Funds,3195
2018,Public Works,General Fund,City Property,3628528,E,General Fund,3196
2018,Public Works,General Fund,Employee Services,42713165,E,General Fund,3197
2018,Public Works,General Fund,Labor and Supply Offset,-57395612,E,General Fund,3198
2018,Public Works,General Fund,Other Services and Supplies,23074048,E,General Fund,3199
2018,Public Works,Fleet Management Fund,City Property,23179488,E,Internal Service Funds,3200
2019,Convention and Cultural Services,Fairytale Town Fund,"Charges, Fees, and Services",50000,R,Other Governmental Funds,3201
2019,Convention and Cultural Services,H Street Theater Fund,Intergovernmental,30000,R,Other Governmental Funds,3202
2019,Convention and Cultural Services,H Street Theater Fund,Miscellaneous Revenue,15000,R,Other Governmental Funds,3203
2019,Convention and Cultural Services,Old Sac Market,"Charges, Fees, and Services",110000,R,Other Governmental Funds,3204
2019,Convention and Cultural Services,Zoo,"Charges, Fees, and Services",50000,R,Other Governmental Funds,3205
2019,Debt Service,Community Center Fund,City Debt Service,8169996,E,Enterprise Funds,3206
2019,Debt Service,Parking Fund,City Debt Service,7045407,E,Enterprise Funds,3207
2019,Debt Service,Recycling and Solid Waste,City Debt Service,1732258,E,Enterprise Funds,3208
2019,Debt Service,Storm Drainage Fund,City Debt Service,3534193,E,Enterprise Funds,3209
2019,Debt Service,Wastewater Fund,City Debt Service,2840890,E,Enterprise Funds,3210
2019,Debt Service,Wastewater Revenue Bonds,City Debt Service,0,E,Enterprise Funds,3211
2019,Debt Service,Water Fund,City Debt Service,29807476,E,Enterprise Funds,3212
2019,Debt Service,Water Revenue Bonds,City Debt Service,0,E,Enterprise Funds,3213
2019,Debt Service,Water Revenue Bonds Ser. 2017,City Debt Service,0,E,Enterprise Funds,3214
2019,Debt Service,General Fund,City Debt Service,27436175,E,General Fund,3215
2019,Debt Service,Fleet Management Fund,City Debt Service,96914,E,Internal Service Funds,3216
2019,Debt Service,"2006 CIRBs (Refunding), Series E",City Debt Service,123592,E,Other Governmental Funds,3217
2019,Debt Service,"2006 CIRBs, Series B (CRCIP)",City Debt Service,1522207,E,Other Governmental Funds,3218
2019,Debt Service,2015 Golden 1 Center Revenue Bonds,City Debt Service,11195874,E,Other Governmental Funds,3219
2019,Human Resources,General Fund,Other Services and Supplies,718065,E,General Fund,3220
2019,Citywide and Community Support,Worker's Compensation Fund,"Interest, Rents, and Concessions",500000,R,Risk Management,3221
2019,Debt Service,2015 Refunding Revenue Bond,City Debt Service,1,E,Other Governmental Funds,3222
2019,Debt Service,2016 Lease Financing-H Street,City Debt Service,672443,E,Other Governmental Funds,3223
2019,Debt Service,Debt Service - Other City Debt,City Debt Service,102586,E,Other Governmental Funds,3224
2019,Debt Service,Debt Service-93 Series A,City Debt Service,0,E,Other Governmental Funds,3225
2019,Debt Service,Debt Service-93 Series B,City Debt Service,0,E,Other Governmental Funds,3226
2019,Debt Service,Golf Fund,City Debt Service,1167932,E,Other Governmental Funds,3227
2019,Debt Service,Kings-Arco Arena Acquisition,City Debt Service,3873000,E,Other Governmental Funds,3228
2019,Debt Service,Marina Fund,City Debt Service,1321730,E,Other Governmental Funds,3229
2019,Debt Service,NNFP Public Facilities Fee Fund,City Debt Service,910526,E,Other Governmental Funds,3230
2019,Debt Service,NNFP Reg Park Land Acquisition,City Debt Service,422046,E,Other Governmental Funds,3231
2019,Debt Service,"2006 CIRBs (Refunding), Series E",Intergovernmental,123592,R,Other Governmental Funds,3232
2019,Debt Service,"2006 CIRBs, Series B (CRCIP)","Interest, Rents, and Concessions",87600,R,Other Governmental Funds,3233
2019,Debt Service,"2006 CIRBs, Series B (CRCIP)",Intergovernmental,1122607,R,Other Governmental Funds,3234
2019,Debt Service,2015 Golden 1 Center Revenue Bonds,"Interest, Rents, and Concessions",6500000,R,Other Governmental Funds,3235
2019,Debt Service,2016 Lease Financing-H Street,Intergovernmental,672443,R,Other Governmental Funds,3236
2019,Debt Service,Debt Service - Other City Debt,"Interest, Rents, and Concessions",4418,R,Other Governmental Funds,3237
2019,Debt Service,Debt Service - Other City Debt,Intergovernmental,98168,R,Other Governmental Funds,3238
2019,Debt Service,Kings-Arco Arena Acquisition,"Interest, Rents, and Concessions",3873000,R,Other Governmental Funds,3239
2019,Finance,Parking Fund,Labor and Supply Offset,93333,E,Enterprise Funds,3240
2019,Finance,General Fund,City Property,44400,E,General Fund,3241
2019,Finance,General Fund,Employee Services,9654273,E,General Fund,3242
2019,Finance,General Fund,Labor and Supply Offset,-4882429,E,General Fund,3243
2019,Finance,General Fund,Other Services and Supplies,1656345,E,General Fund,3244
2019,Finance,General Fund,Transfers,64003,E,General Fund,3245
2019,Finance,12th Street Maint Benefit Area,Labor and Supply Offset,3237,E,Other Governmental Funds,3246
2019,Finance,Cty/Cnty Office-Water Planning,Labor and Supply Offset,39000,E,Other Governmental Funds,3247
2019,Finance,Curtis Park CFD 2013-03,Labor and Supply Offset,3179,E,Other Governmental Funds,3248
2019,Finance,Del Paso Nuevo Landscaping CFD,Labor and Supply Offset,2595,E,Other Governmental Funds,3249
2019,Finance,Del Paso Prop & Business Imprv,Labor and Supply Offset,1976,E,Other Governmental Funds,3250
2019,Finance,Downtown Impact Fee Fund,Other Services and Supplies,100000,E,Other Governmental Funds,3251
2019,Finance,Downtown Management District,Labor and Supply Offset,4921,E,Other Governmental Funds,3252
2019,Finance,Franklin Blvd PBID,"Charges, Fees, and Services",44441,R,Other Governmental Funds,3253
